Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
imdb/submit/firefox-desktop/baseline/1/ae04d803-49ee-4300-92ee-4d099fd934d6-1,200,707,613,960,1138,1975,484,2370,50.000%,.69678,0.56,2.46
imdb/-2,200,213,134,425,706,1331,42,1472,24.500%,.69949,0.46,0.42
imdb/submit/firefox-desktop/usage-reporting/1/d89a8746-33b3-4f5a-9780-ec32390cc4b3-3,200,396,381,438,474,847,310,1000,50.000%,.69869,0.56,0.85
imdb/-4,200,838,836,923,1070,1144,313,1634,50.000%,.69693,0.74,0.68
imdb/?operationName=TitleShowRatingPrompt&variables=%7B%22constId%22%3A%22tt36594331%22%2C%22locale%22%3A%22en-US%22%2C%22promptType%22%3A%22RATINGS_TITLE_MAIN%22%7D&extensions=%7B%22persistedQuery%22%3A%7B%22sha256Hash%22%3A%221ee91f16bf508592ccf7c10e7a242c7ad4ececc02cfab5abb5520e017a3466df%22%2C%22version%22%3A1%7D%7D-6,200,56,39,94,141,353,13,604,3.000%,.69873,0.46,0.64
imdb/?operationName=RVI_Items&variables=%7B%22count%22%3A15%2C%22locale%22%3A%22en-US%22%7D&extensions=%7B%22persistedQuery%22%3A%7B%22sha256Hash%22%3A%2232eda43bfa1053f69036b945638fc4a0ae6cc4a2429de224b3185f8b0e37717b%22%2C%22version%22%3A1%7D%7D-5,200,53,40,92,115,304,12,459,1.500%,.69857,0.46,0.59
imdb/-7,200,756,837,894,920,1077,312,1731,50.000%,.69669,0.71,0.74
imdb/-8,200,708,823,902,935,1003,308,1058,50.000%,.69565,1.04,0.69
imdb/1/events/com.amazon.csm.csa.prod-9,200,1288,883,2303,3544,5868,729,6303,50.000%,.69469,0.40,2.07
imdb/-10,200,503,403,729,1151,1832,301,3181,50.000%,.69473,1.89,0.30
imdb/1/events/com.amazon.csm.csa.prod-11,200,346,286,352,407,2012,243,2892,50.000%,.69315,0.40,1.71
imdb/1/batch/1/OE/-12,200,1551,1234,2319,2581,4003,1066,7080,50.000%,.68763,0.21,0.56
imdb/1/events/com.amazon.csm.csa.prod-13,200,355,288,349,462,1231,248,5474,50.000%,.68730,0.40,2.73
imdb/fb423e1ef94f/c3382d439950/916d943f6a58/challenge.js-14,200,1134,922,2041,2385,3128,483,3782,50.000%,.68370,341.84,0.33
imdb/fb423e1ef94f/c3382d439950/916d943f6a58/inputs-15,200,315,293,365,531,763,257,797,50.000%,.68444,0.74,0.33
imdb/fb423e1ef94f/c3382d439950/916d943f6a58/inputs-16,200,310,291,357,397,584,256,923,50.000%,.68441,0.74,0.33
imdb/fb423e1ef94f/c3382d439950/916d943f6a58/mp_verify-17,200,355,322,407,543,830,280,2012,50.000%,.68423,0.91,7.56
imdb/fb423e1ef94f/c3382d439950/916d943f6a58/report-19,200,332,290,365,639,920,253,1187,50.000%,.68425,0.41,0.44
imdb/-18,200,387,309,432,770,1384,267,5315,50.000%,.68423,1.87,0.31
imdb/images/S/sash/MQvAPZtWnLQYt5p.js-20,200,380,256,678,1017,2394,61,2779,48.500%,.68212,49.22,0.32
imdb/images/I/11QhRZqmoxL.js-22,200,62,52,95,128,342,14,752,4.500%,.68258,1.25,0.31
imdb/images/S/sash/6WQdCE8Mjrz1328.css-26,200,55,45,85,110,345,12,417,3.000%,.68252,1.51,0.33
imdb/images/S/sash/djV9FnI7RYrbIyR.js-24,200,95,64,167,321,546,18,885,11.500%,.68246,9.57,0.32
imdb/_next/static/css/5473e0cf0f2d751f.css-28,200,256,128,511,1023,2208,43,5366,28.500%,.68162,2.32,0.34
imdb/_next/static/css/ea954c775e56c8f4.css-21,200,57,35,105,129,409,12,999,3.500%,.68170,0.99,0.34
imdb/_next/static/css/f638b3a60a6b7572.css-27,200,62,43,110,147,420,13,578,4.500%,.68163,5.52,0.34
imdb/_next/static/chunks/webpack-9651c968220ebb3a.js-23,200,58,41,96,159,375,12,698,5.000%,.68155,1.85,0.33
imdb/_next/static/chunks/framework-a909d885f472f220.js-29,200,166,113,313,481,749,33,1518,28.000%,.68049,44.55,0.33
imdb/_next/static/css/fcedf061f2fc9302.css-25,200,115,61,242,431,635,20,1126,16.500%,.67802,28.07,0.34
imdb/_next/static/chunks/main-6c24c9b673722d49.js-30,200,115,68,215,290,720,19,2396,12.000%,.67761,27.85,0.32
imdb/_next/static/chunks/c30a072d-ac83d3290b9b3eaf.js-31,200,107,62,232,405,754,17,913,13.000%,.67744,20.32,0.33
imdb/images/G/01/IMDb/cm9ib3RvQm9sZA._TTW_.woff2-34,200,118,59,194,321,695,16,4279,10.000%,.67723,7.96,0.35
"imdb/images/M/MV5BOTNkOTkxODMtZTU1NC00MmFlLWJhNmQtMTQ0OTc4NWQ1ZDYyXkEyXkFqcGdeQWpnYW1i._V1_QL40_QL75_UX1000_CR0,0,1000,563_.jpg-32",200,188,119,349,475,711,29,3958,31.500%,.67681,43.58,0.42
imdb/images/G/01/IMDb/cm9ib3Rv._TTW_.woff2-36,200,98,60,191,351,574,16,1298,7.500%,.67675,7.95,0.35
imdb/images/G/01/IMDb/cm9ib3RvTWVk._TTW_.woff2-35,200,105,61,149,257,946,16,2137,9.000%,.67661,7.95,0.35
imdb/_next/static/chunks/9291-c23eaddc9645c064.js-39,200,115,54,206,345,880,18,3847,11.500%,.67636,15.17,0.32
imdb/_next/static/chunks/8198-8150702a7fc55b3d.js-37,200,83,49,153,277,491,17,1113,7.000%,.67613,13.40,0.32
"imdb/images/M/MV5BZTNkYmE5ZGQtMTUzNi00ZDE3LWE5YWQtODk4N2Q3Yzc0YzViXkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg-38",200,115,71,213,350,760,19,2566,13.500%,.67522,14.16,0.41
imdb/_next/static/chunks/634-3cd996daff887933.js-41,200,62,42,96,153,435,12,628,3.000%,.67520,3.35,0.32
imdb/_next/static/chunks/1177-191d36d48b2d0a25.js-42,200,69,41,105,210,505,12,767,6.000%,.67499,3.65,0.32
imdb/_next/static/chunks/5368-51c24bec7694a0d4.js-40,200,170,121,332,410,707,34,1135,26.500%,.67421,60.35,0.32
imdb/_next/static/chunks/5522-31a2f4ccbc79131f.js-43,200,54,41,88,121,394,13,650,2.000%,.67400,3.29,0.32
imdb/_next/static/chunks/pages/_app-ac771679f46a3d24.js-33,200,828,650,1459,1888,2713,149,4096,50.000%,.66871,484.69,0.32
imdb/_next/static/chunks/380-123b96685047e6cc.js-45,200,59,41,89,120,441,13,878,3.500%,.66918,2.83,0.32
imdb/_next/static/chunks/6580-cc9e561398a44ec5.js-46,200,71,43,135,272,422,15,657,4.500%,.66915,5.22,0.32
imdb/_next/static/chunks/3065-df8b4f0ec71ac8fa.js-44,200,299,234,591,684,922,56,1672,41.000%,.66792,146.05,0.32
imdb/_next/static/chunks/9031-de0d2babbcc9fa50.js-47,200,71,42,137,240,411,13,916,7.500%,.66831,4.13,0.32
