Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
"ReactDev/complete/search-2,370",150,870,422,1851,2681,7947,249,10078,33.333%,.61802,5.53,0.18
"ReactDev/-2,371",150,901,373,1544,2766,10603,160,12282,33.333%,.61628,26.50,0.27
"ReactDev/images/home/conf2021/andrew.jpg-2,374",150,161,84,321,487,1419,49,2484,2.000%,.61834,1.55,0.28
"ReactDev/images/uwu.png-2,373",150,612,201,1202,2270,6541,64,12708,4.667%,.61808,33.56,0.27
"ReactDev/images/home/conf2021/juan.jpg-2,376",150,165,78,203,421,2998,50,3701,1.333%,.61976,0.94,0.28
"ReactDev/images/home/conf2021/rick.jpg-2,377",150,173,81,220,393,2962,48,3802,1.333%,.61959,1.08,0.28
"ReactDev/images/home/conf2021/lauren.jpg-2,375",150,205,87,460,631,2636,50,3729,0.667%,.61961,3.70,0.28
"ReactDev/images/home/conf2021/cover.svg-2,372",150,146,76,338,452,738,48,2071,2.000%,.61966,0.67,0.28
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/index.json-2,378",150,129,78,241,364,900,49,1117,0.667%,.61988,0.43,0.27
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/versions.json-2,379",150,175,93,393,569,1010,49,1705,2.667%,.62014,3.45,0.28
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/community.json-2,383",150,126,78,242,373,1064,50,1104,2.000%,.62037,1.14,0.28
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react.json-2,381",150,128,84,222,407,643,50,1095,1.333%,.62040,1.40,0.30
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/blog.json-2,382",150,165,85,287,530,1473,49,2494,0.667%,.62040,2.83,0.28
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/community/translations.json-2,384",150,146,83,306,441,932,47,1011,1.333%,.62042,1.46,0.31
"ReactDev/images/home/videos/documentary.webp-2,386",150,278,110,460,547,5772,49,6978,1.333%,.62046,6.64,0.28
"ReactDev/images/home/videos/rn.jpg-2,388",150,231,117,396,606,1578,50,6433,3.333%,.62048,8.69,0.28
"ReactDev/images/home/videos/hooks.jpg-2,389",150,163,83,359,453,1231,46,1283,2.000%,.62046,3.52,0.28
"ReactDev/images/home/videos/rethinking.jpg-2,387",150,193,93,420,558,1690,47,1709,1.333%,.62047,5.44,0.28
"ReactDev/g/collect?v=2&tid=G-B1E83PJ3RT&gtm=45je6461h1v9119811439za200zd9119811439&_p=1775663495692&gcd=13l3l3l3l1l1&npa=0&dma=0&_eu=AAAAAAQ&cid=144136750.1775661569&frm=0&pscdl=noapi&sr=1536x864&ul=en-us&_s=5&tag_exp=0~115616986~115938466~115938469~116363097~116991816~117512543&sid=1775661568&sct=1&seg=1&dl=https%3A%2F%2Freact.dev%2Fcommunity%2Fconferences&dt=React%20Conferences%20%E2%80%93%20React&en=timing&_ee=1&ep.event_label=JS%20Dependencies&ep.event=unload&_et=2442&tfd=121906-2,385",150,371,251,692,858,1968,166,3028,33.333%,.62015,0.50,0.61
"ReactDev/images/home/videos/rsc.jpg-2,390",150,158,88,253,495,1058,49,2861,0.000%,.62062,3.96,0.28
"ReactDev/images/home/conf2021/shaundai.jpg-2,391",150,111,75,217,306,581,46,700,1.333%,.62065,1.70,0.28
"ReactDev/images/home/conf2021/shruti.jpg-2,392",150,116,74,176,404,767,48,940,0.000%,.62067,1.10,0.28
"ReactDev/images/home/conf2021/aakansha.jpg-2,393",150,124,75,200,346,1059,48,1238,0.667%,.62068,1.15,0.28
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react.json-2,395",150,135,78,294,411,792,49,888,0.667%,.62070,1.40,0.30
"ReactDev/images/home/conf2021/brian.jpg-2,394",150,128,76,250,367,748,48,1512,0.000%,.62068,1.17,0.28
"ReactDev/images/home/conf2021/xuan.jpg-2,396",150,93,72,147,180,454,47,466,0.667%,.62066,0.80,0.28
"ReactDev/images/home/conf2021/rachel.jpg-2,398",150,139,76,299,473,908,46,1336,0.000%,.62067,1.70,0.28
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn.json-2,397",150,162,93,308,471,675,51,2845,0.667%,.62065,4.31,0.28
"ReactDev/images/home/conf2021/debbie.jpg-2,399",150,116,76,202,270,1082,48,1354,2.000%,.62067,0.82,0.28
"ReactDev/images/home/conf2021/linton.jpg-2,401",150,126,76,233,332,966,47,2239,1.333%,.62067,1.04,0.28
"ReactDev/images/home/conf2021/sarah.jpg-2,400",150,112,75,175,268,637,47,1411,0.667%,.62069,1.10,0.28
"ReactDev/images/home/conf2021/robert.jpg-2,403",150,126,72,215,364,1105,49,1270,2.000%,.62070,1.05,0.28
"ReactDev/images/home/conf2021/delba.jpg-2,402",150,119,74,213,371,738,47,1039,0.667%,.62067,1.06,0.28
"ReactDev/images/home/conf2021/eric.jpg-2,404",150,116,73,225,339,810,47,857,0.000%,.62057,1.11,0.28
"ReactDev/images/home/conf2021/steven.jpg-2,405",150,154,85,330,471,901,49,1056,0.667%,.62049,2.68,0.28
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn.json-2,380",150,180,103,375,491,1407,48,1770,0.667%,.62051,4.31,0.28
"ReactDev/images/home/conf2021/roman.jpg-2,406",150,118,74,196,290,1101,47,1296,0.667%,.62052,0.92,0.28
"ReactDev/images/home/conf2021/daishi.jpg-2,407",150,160,70,373,492,1117,48,3476,0.000%,.62058,1.02,0.28
"ReactDev/images/home/conf2021/diego.jpg-2,408",150,121,74,235,344,614,48,761,1.333%,.62049,1.15,0.28
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn.json?markdownPath=learn-2,409",150,128,74,297,410,835,48,1129,0.667%,.62050,0.35,0.27
"ReactDev/images/home/conf2021/tafu.jpg-2,410",150,117,72,203,301,1042,48,1043,0.000%,.62052,1.08,0.28
"ReactDev/images/home/conf2021/lyle.jpg-2,411",150,133,78,236,361,1039,48,1123,0.667%,.62057,1.21,0.28
"ReactDev/images/home/conf2021/helen.jpg-2,412",150,121,73,211,318,898,48,1240,0.667%,.62057,1.02,0.28
"ReactDev/_next/image-2,413",150,344,199,656,823,3657,51,4525,2.667%,.62037,13.51,0.29
"ReactDev/_next/image-2,414",150,143,80,319,437,749,50,1761,0.000%,.62039,2.72,0.29
"ReactDev/images/home/conf2019/cover.svg-2,415",150,168,108,355,474,747,49,2157,2.000%,.62037,3.27,0.28
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn/tutorial-tic-tac-toe.json-2,416",150,416,175,679,922,6180,57,7836,0.667%,.62034,13.25,0.31
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn/thinking-in-react.json-2,417",150,191,100,379,594,1361,52,1899,2.000%,.62041,5.00,0.31
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn/installation.json-2,418",150,156,90,327,403,1092,49,2551,0.667%,.62041,1.34,0.30
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn/react-compiler.json-2,420",150,153,77,265,452,1711,49,3090,0.667%,.62041,1.07,0.31
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn/setup.json-2,419",150,156,83,340,466,812,49,2597,0.000%,.62006,0.85,0.30
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn/describing-the-ui.json-2,421",150,188,101,426,636,1130,50,1195,0.000%,.62006,4.05,0.31
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn/managing-state.json-2,422",150,238,116,365,470,3775,51,5393,0.667%,.62004,4.90,0.31
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn/adding-interactivity.json-2,423",150,193,117,370,629,1006,50,2426,0.000%,.62005,5.39,0.31
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn/escape-hatches.json-2,424",150,217,111,408,608,1863,49,5229,1.333%,.62009,4.75,0.31
"ReactDev/canonical.html-2,425",150,275,206,501,645,829,150,1028,32.667%,.61987,0.18,0.18
"ReactDev/success.txt-2,426",150,145,97,253,421,689,75,968,0.000%,.62046,0.13,0.19
